module,phase,name,code,sequence,workflow-file,command,required,agent,options,description,output-location,outputs
core,anytime,Brainstorming,BSP,,_grimoire-runtime/core/workflows/brainstorming/workflow.md,grimoire-brainstorming,false,analyst,,"Generate diverse ideas through interactive techniques. Use early in ideation phase or when stuck generating ideas.",{output_folder}/brainstorming/brainstorming-session-{{date}}.md,,
core,anytime,Party Mode,PM,,_grimoire-runtime/core/workflows/party-mode/workflow.md,grimoire-party-mode,false,party-mode facilitator,,"Orchestrate multi-agent discussions. Use when you need multiple agent perspectives or want agents to collaborate.",,
core,anytime,grimoire-help,BH,,_grimoire-runtime/core/tasks/help.md,grimoire-help,false,,,"Get unstuck by showing what workflow steps come next or answering Grimoire questions.",,
core,anytime,Index Docs,ID,,_grimoire-runtime/core/tasks/index-docs.xml,grimoire-index-docs,false,,,"Create lightweight index for quick LLM scanning. Use when LLM needs to understand available docs without loading everything.",,
core,anytime,Shard Document,SD,,_grimoire-runtime/core/tasks/shard-doc.xml,grimoire-shard-doc,false,,,"Split large documents into smaller files by sections. Use when doc becomes too large (>500 lines) to manage effectively.",,
core,anytime,Editorial Review - Prose,EP,,_grimoire-runtime/core/tasks/editorial-review-prose.xml,grimoire-editorial-review-prose,false,,,"Review prose for clarity, tone, and communication issues. Use after drafting to polish written content.",report located with target document,"three-column markdown table with suggested fixes",
core,anytime,Editorial Review - Structure,ES,,_grimoire-runtime/core/tasks/editorial-review-structure.xml,grimoire-editorial-review-structure,false,,,"Propose cuts, reorganization, and simplification while preserving comprehension. Use when doc produced from multiple subprocesses or needs structural improvement.",report located with target document,
core,anytime,Adversarial Review (General),AR,,_grimoire-runtime/core/tasks/review-adversarial-general.xml,grimoire-review-adversarial-general,false,,,"Review content critically to find issues and weaknesses. Use for quality assurance or before finalizing deliverables. Code Review in other modules run this automatically, but its useful also for document reviews",,
